rank,stock_code,name,closing_price,market_cap,score,mom_20d,drawdown_from_high,volume_surprise,past_glory_1y,fallen_angel_score,vcp_score
141,298020,효성티앤씨,386500,1672649093000,0.2781441875420181,0.6273684210526316,-0.04567901234567906,1.1136483820682488,1.1715817694369974,0.0,0.0
142,122870,와이지엔터테인먼트,74200,1386875835800,0.2780818418989018,0.12254160363086242,-0.3242258652094717,2.0093392254837963,1.3791982665222102,0.4471717512585672,0.0
143,010060,OCI,117500,2193752260000,0.27728182635430576,-0.028122415219189456,-0.10849772382397571,1.1834353221943141,1.2491467576791808,0.0,0.0
144,006260,LS,219000,6942300000000,0.2765807360077311,0.13178294573643412,-0.07203389830508478,1.1258875928453898,1.4737945492662474,0.0,0.0
145,020150,일진머티리얼즈,42800,2241241816400,0.27654570289361446,0.31288343558282206,-0.0414333706606943,1.850671586849781,1.2944501541623845,0.0,0.0
146,121600,나노신소재,71800,876763513800,0.27582561507339465,0.3547169811320754,-0.08651399491094147,3.044738915796164,0.7802944507361269,0.0,0.0
147,376900,로킷헬스케어,66300,1038356720700,0.27432970313544613,0.0642054574638844,-0.23793103448275865,0.627799790051461,5.331877729257642,0.0,0.0
148,064400,LG씨엔에스,69200,6704507601600,0.2727897409361102,0.10191082802547768,-0.3134920634920635,6.397399753060445,1.1677419354838712,0.36607782898105484,0.0
149,328130,루닛,46900,1372141387400,0.2727031143830562,0.053932584269662964,-0.3916990920881972,2.1548529165593306,1.2576866764275256,0.49263472928808405,0.0
150,005935,삼성전자우,117900,96203412885600,0.27185828044322957,0.37412587412587417,0.0,1.1517689190005744,1.827338129496403,-0.0,0.0
151,014680,한솔케미칼,273000,3094508235000,0.268875893788454,0.23529411764705888,-0.05208333333333337,1.0637803878721661,2.310344827586207,0.0,0.0
152,009420,한올바이오파마,52500,2742633495000,0.2668473182299064,0.23529411764705888,-0.08056042031523647,1.1277419276789016,1.3791666666666669,0.0,0.0
153,025320,시노펙스,7560,696423442680,0.2657070003888451,0.11669128508124071,-0.10426540284360186,7.003460915890317,0.7843551797040169,0.0,0.0
154,457190,이수스페셜티케미컬,106300,3211140164000,0.2656833211601308,0.9187725631768953,-0.05004468275245755,0.7542573360401322,2.633116883116883,0.0,0.0
155,178320,서진시스템,34600,1933215453400,0.2656612637437567,0.3410852713178294,-0.02259887005649719,1.6814018466958078,1.1467556094602789,0.0,0.0
156,204270,제이앤티씨,24200,1399932877200,0.2648586319903075,0.25910509885535893,-0.1960132890365448,2.861552821914274,1.477366255144033,0.0,0.0
157,139480,이마트,88600,2444989563400,0.26356380865100243,0.039906103286385,-0.12966601178781922,0.8554224325290929,0.6472491909385114,0.0,0.0
158,090360,로보스타,89100,868725000000,0.26336061182945847,0.12358133669609073,-0.17500000000000004,1.1926807183946215,4.402701350675338,0.0,0.0
159,237690,에스티팜,150500,3115603442000,0.26210110073358006,0.20496397117694154,-0.02399481193255515,1.4732447666660027,1.3153153153153152,0.0,0.0
