rank,stock_code,name,closing_price,market_cap,pe,pb,roe,gpa,debt_ratio,score
86,053030,바이넥스,16170,528503319960,1280.0090483113795,2.8230126464776677,0.0022054630396573034,0.1274078620538676,0.6256987629542116,0.5145846235642785
87,131290,티에스이,82600,913674035400,50.4273802407731,2.2137350254132806,0.04389946522788752,0.15320029845818633,0.3077146113338419,0.51439065278128
88,328130,루닛,46900,1372141387400,234.53640941373115,8.332301834467431,-0.09074392963155153,0.08479388826244716,1.3636829269421709,0.5132617113601999
89,041190,우리기술투자,8280,695520000000,42.527285218564415,0.8590961190069533,0.054475235651939236,0.11903507169756315,0.21039983699951842,0.5131846882759319
90,039440,에스티아이,33600,521036779200,65.12793163917445,1.9598730784136924,0.03009266575932267,0.12083422238379592,0.22062055195518426,0.5128010921020164
91,003160,디아이,34850,986255000000,41.400737324247594,5.230100140745876,0.12632867139017617,0.1829974120279504,1.026825262970521,0.5125197900840844
92,241710,코스메카코리아,86600,924888000000,21.836822901353617,2.910222974237075,0.1332713548753778,0.18611355563262794,0.9650006005381234,0.5120963375755828
93,376300,디어유,38500,913928631000,109.65799138707676,4.551865576273888,0.0415096566943896,0.08479388826244716,0.14411373432952676,0.5119689275783339
94,035250,강원랜드,17430,3728982915000,14.88618128836208,0.9559288627898773,0.06421585524671906,0.06616835332388678,0.18695433823476904,0.5112040820949476
95,077970,STX엔진,36050,1447337671150,26.649236119670203,4.377974211617378,0.16428141474516522,0.09746568938366981,2.320500944435625,0.5104984350634643
96,012330,현대모비스,447000,40557464601000,14.001477773335875,0.8467677828436002,0.06047702939300931,0.09150029575343434,0.457964255939703,0.5103263721364599
97,000100,유한양행,109700,8772537538900,116.68771942856743,3.9573593998876424,0.03391410355148996,0.16926749793666124,0.37722811737847806,0.5090282578337224
98,014680,한솔케미칼,273000,3094508235000,23.687183941831982,2.666416176635102,0.11256788410065767,0.12872389819147093,0.3494311578207499,0.5085907251444158
99,108490,로보티즈,307000,4473017016000,1951.9674779384156,43.82978201088154,0.022454155874140215,0.15884254879376503,0.05536338374890196,0.5078928376687426
100,083450,GST,30300,558429000000,17.083830085073206,1.8856064066280553,0.11037375092342913,0.27032920302255226,0.23709577320044284,0.5075605092514083
101,014620,성광벤드,31950,848507779800,32.11746552169822,1.5717938115995076,0.04893891177489146,0.10895425466650291,0.07584235422603719,0.5068647611979221
102,011200,현대상선,20000,18864759400000,12.453219394659538,0.7401999126345006,0.059438438300695916,0.049428747100835876,0.25486897078097637,0.506842938743521
103,213420,덕산네오룩스,39500,980831570500,31.38239501588364,2.19821247876747,0.07004603943245516,0.10540757818469673,0.5291077497438118,0.50622576214234
104,278470,에이피알,271000,10143707505000,53.14047682100584,29.089213505789353,0.5474021921890379,1.2099486515717905,0.769751247250847,0.5062150811363783
105,018290,브이티,19820,692547229160,12.968612815641807,2.8086360512327144,0.21657181775410397,0.5751004621963922,0.37777370965012347,0.5057327536877158
106,128940,한미약품,519000,6648904329000,49.96103544621086,4.940874676447149,0.09889456117791239,0.3057759973157594,0.5163035133426285,0.5053273390571182
107,103140,풍산,124600,3491825038800,25.241484065461144,1.5472062856818785,0.06129616949896294,0.0924796563060892,0.8800408490137615,0.5052790276100269
108,066570,LG전자,99900,16272350061300,8.360508371529054,0.6044798400280301,0.07230180428818551,0.23837095161413624,1.4952138017252936,0.5050255033778414
109,310210,보로노이,218000,4009787578000,234.53640941373115,75.36187166619102,-0.7216332553285809,0.08479388826244716,0.8711408471530968,0.5049147027050072
110,195870,해성디에스,63700,1082900000000,76.17722507224978,1.944252618054766,0.025522754553093167,0.07060593458795869,0.5880406466738134,0.5048600580294795
111,030200,KT,55900,14088012191500,8.071814444398608,0.7314672380790881,0.09061992729363172,0.10904997296037545,1.2332760088091674,0.504816619977247
112,069960,현대백화점,88500,2002649950500,10.51464750050943,0.3158701745566718,0.030040966617413283,0.16270444783013496,0.8119454024869961,0.5048125242703367
113,126340,비나텍,99100,667310462800,42.527285218564415,8.334718406067658,-0.04144678701501981,0.09580114246839933,1.397012091135257,0.5047189092467119
114,034730,SK,305500,22149575766500,3.056162689554705,0.2578197052232072,0.084360595757673,0.032423979291083774,1.5062734788476997,0.5045592165320765
115,353200,대덕전자,54500,2693222412500,122.49018972423008,3.0781537854962946,0.025129798495914953,0.05479694180217756,0.2980580568519551,0.5043858027626811
116,039030,이오테크닉스,350000,4311842500000,106.6582125224094,6.456157606525169,0.060531275124910786,0.13989867338937512,0.12384668569929012,0.5041877624232532
117,241560,두산밥캣,59700,5722607080500,25505.11019917904,1154.3651494756386,0.045260151415177786,0.11912456314649231,0.7445178010970752,0.5041512707633766
118,271560,오리온,117000,4625727444000,16.357544410616786,1.2392697588251838,0.07576135682204486,0.2018821545305438,0.16898971951917752,0.503889050946033
119,000990,DB하이텍,104700,4554930363600,23.164520102608122,2.0921562953215855,0.09031727340149072,0.12791729680648195,0.31369179459313984,0.5037867755398101
120,060280,큐렉소,18920,777422610800,757.7378011680387,8.24452018227058,0.010880439341368224,0.16660010624306523,0.09924360933299435,0.5030257633005499
121,010120,LS산전,572000,17160000000000,85.58578160228205,8.41065740070393,0.09827166666290826,0.1571852946707476,1.2593920371609906,0.5019016158226265
122,036930,주성엔지니어링,38350,1812740110350,44.88159390654793,3.0547717330507766,0.06806290657616564,0.17571209339969193,0.4688055300257702,0.5018848317052212
123,047920,HLB제약,19990,655659126440,282.923432712917,5.420832853964632,0.01916007027761876,0.45261302185556496,0.38839894217209847,0.5011652976742027
124,200710,에이디테크놀로지,39450,530240427900,42.527285218564415,4.095887999218801,-0.014491743643591874,0.07512246993192705,1.2122765866557186,0.5009152188223785
